n_metrics    min    avg   max
2    0.040601570159196854    0.14432236153345843    0.20688094198703766
3    0.021475322544574738    0.10661370751949457    0.16644316911697388
4    0.01540104579180479    0.09195180942519353    0.1342362016439438
5    0.012752514332532883    0.08331547484374964    0.1328592598438263
6    0.012193063274025917    0.07743211985207521    0.1202089935541153
7    0.007890245877206326    0.07258853154973342    0.11770660430192947
8    0.007044416386634111    0.0687733892766902    0.11260122805833817
9    0.005777947138994932    0.06542846738289182    0.11153865605592728
10    0.006014455575495958    0.06311024234415247    0.10024237632751465
11    0.005251588765531778    0.060876026046104155    0.09977491199970245
12    0.005581628531217575    0.05898306991904974    0.10238751024007797
15    0.00517244404181838    0.054221431941080554    0.08429305255413055
17    0.003972623031586409    0.05137334918030179    0.0814712792634964
20    0.003697815351188183    0.04738033280349695    0.0778575912117958
22    0.004007142968475819    0.044372101661104425    0.07017581164836884
24    0.004372165072709322    0.04154556077116957    0.06430763006210327
26    0.004326383117586374    0.03832734365446063    0.054968833923339844
28    0.0038755822461098433    0.03578887672593387    0.05116749927401543
30    0.0032946865539997816    0.03304168300201687    0.04906152933835983
35    0.0023615353275090456    0.026936392485379025    0.04091290384531021
40    0.0021814540959894657    0.0219336030467485    0.03371919319033623
